date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:40	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2013:58:39%20GMT	https://bosar.agency/robots.txt		(from )
17:58:40	18771/18771	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202024%2018:06:34%20GMT	https://bosar.agency/	bosar.agency/index.html	(from )
17:58:40	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Dec%202024%2013:58:40%20GMT	https://bosar.agency/images/social-share.jpg	bosar.agency/images/social-share.jpg	(from https://bosar.agency/)
17:58:41	5094/5094	---M--	200	added ('OK')	image/x-icon	date:Thu,%2011%20Apr%202024%2009:54:45%20GMT	https://bosar.agency/favicon.ico	bosar.agency/favicon.ico	(from https://bosar.agency/)
17:58:42	1155/1155	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2009:54:45%20GMT	https://bosar.agency/favicon.png	bosar.agency/favicon.png	(from https://bosar.agency/)
17:58:43	13143/13143	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jun%202024%2018:06:35%20GMT	https://bosar.agency/styles.css	bosar.agency/styles.css	(from https://bosar.agency/)
17:58:44	4005/4005	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2009:54:50%20GMT	https://bosar.agency/images/bosar-circle.png	bosar.agency/images/bosar-circle.png	(from https://bosar.agency/)
17:58:45	3948/3948	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2009:54:46%20GMT	https://bosar.agency/images/nick-circle.png	bosar.agency/images/nick-circle.png	(from https://bosar.agency/)
17:58:46	1931/1931	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2011%20Apr%202024%2009:54:44%20GMT	https://bosar.agency/images/phone-icon.svg	bosar.agency/images/phone-icon.svg	(from https://bosar.agency/)
17:58:47	1015/1015	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2009:54:48%20GMT	https://bosar.agency/images/serv1.png	bosar.agency/images/serv1.png	(from https://bosar.agency/)
17:58:48	1100/1100	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2009:54:48%20GMT	https://bosar.agency/images/serv2.png	bosar.agency/images/serv2.png	(from https://bosar.agency/)
17:58:49	2118/2118	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2009:54:48%20GMT	https://bosar.agency/images/serv3.png	bosar.agency/images/serv3.png	(from https://bosar.agency/)
17:58:50	21975/21975	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2009:54:44%20GMT	https://bosar.agency/images/bogdan-big.png	bosar.agency/images/bogdan-big.png	(from https://bosar.agency/)
17:58:51	744/744	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2011%20Apr%202024%2009:54:49%20GMT	https://bosar.agency/images/linkedin-icon.svg	bosar.agency/images/linkedin-icon.svg	(from https://bosar.agency/)
17:58:52	24925/24925	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Apr%202024%2009:54:45%20GMT	https://bosar.agency/images/nick-big.png	bosar.agency/images/nick-big.png	(from https://bosar.agency/)
17:58:53	1408/1408	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2011%20Apr%202024%2009:54:49%20GMT	https://bosar.agency/images/youtube-icon.svg	bosar.agency/images/youtube-icon.svg	(from https://bosar.agency/)
17:58:54	337/337	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2011%20Apr%202024%2009:54:46%20GMT	https://bosar.agency/images/mail-icon.svg	bosar.agency/images/mail-icon.svg	(from https://bosar.agency/)
17:58:55	1486/1486	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2011%20Apr%202024%2009:54:49%20GMT	https://bosar.agency/images/map-icon.svg	bosar.agency/images/map-icon.svg	(from https://bosar.agency/)
17:58:56	6174/6174	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2011%20Apr%202024%2009:54:50%20GMT	https://bosar.agency/images/logo.svg	bosar.agency/images/logo.svg	(from https://bosar.agency/styles.css)
17:58:57	3772/3772	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2011%20Apr%202024%2009:54:50%20GMT	https://bosar.agency/images/bg-logo.svg	bosar.agency/images/bg-logo.svg	(from https://bosar.agency/styles.css)
17:58:58	3863/3863	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2011%20Apr%202024%2009:54:47%20GMT	https://bosar.agency/images/bg-logo2.svg	bosar.agency/images/bg-logo2.svg	(from https://bosar.agency/styles.css)
